DATE,NASDAQ100
3/20/2009,1187.18
3/23/2009,1259.81
3/24/2009,1235.42
3/25/2009,1236.66
3/26/2009,1281.3
3/27/2009,1251.47
3/30/2009,1220.81
3/31/2009,1237.01
4/1/2009,1252.51
4/2/2009,1294.3
4/3/2009,1316.16
4/6/2009,1313.1
4/7/2009,1275.42
4/8/2009,1300.75
4/9/2009,1340.28
4/10/2009,.
4/13/2009,1336.67
4/14/2009,1322.31
4/15/2009,1316.51
4/16/2009,1352.98
4/17/2009,1353.92
4/20/2009,1309.37
4/21/2009,1329.06
4/22/2009,1335.72
4/23/2009,1344.41
4/24/2009,1373.28
4/27/2009,1369.94
4/28/2009,1361.92
4/29/2009,1382.38
4/30/2009,1394.33
5/1/2009,1396.62
5/4/2009,1427.96
5/5/2009,1423.81
5/6/2009,1423.85
5/7/2009,1389.83
5/8/2009,1394.16
5/11/2009,1395.79
5/12/2009,1377.4
5/13/2009,1339.83
5/14/2009,1359.67
5/15/2009,1355.11
5/18/2009,1392.73
5/19/2009,1398.05
5/20/2009,1393.72
5/21/2009,1367.39
5/22/2009,1363.17
5/25/2009,.
5/26/2009,1412.61
5/27/2009,1401.88
5/28/2009,1420.31
5/29/2009,1435.57
6/1/2009,1477.12
6/2/2009,1480.31
6/3/2009,1475.44
6/4/2009,1492.74
6/5/2009,1493.21
6/8/2009,1488.49
6/9/2009,1501.55
6/10/2009,1495.27
6/11/2009,1497.01
6/12/2009,1489.97
6/15/2009,1456.96
6/16/2009,1443.25
6/17/2009,1455.89
6/18/2009,1453.8
6/19/2009,1471.23
6/22/2009,1426.61
6/23/2009,1424.46
6/24/2009,1447.06
6/25/2009,1475.82
6/26/2009,1480.2
6/29/2009,1483.83
6/30/2009,1477.25
7/1/2009,1481.34
7/2/2009,1446.28
7/3/2009,.
7/6/2009,1441.01
7/7/2009,1404.78
7/8/2009,1411.53
7/9/2009,1414.98
7/10/2009,1419.84
7/13/2009,1447.7
7/14/2009,1452.84
7/15/2009,1500.98
7/16/2009,1518.87
7/17/2009,1527.26
7/20/2009,1544
7/21/2009,1553.01
7/22/2009,1565
7/23/2009,1601.52
7/24/2009,1599.06
7/27/2009,1599.31
7/28/2009,1605.47
7/29/2009,1599.61
7/30/2009,1609.87
