date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money,nasdaq100,btc_price,housing_index,commod_index,energy_index,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2012-07,2315.0,16319.54,0.16,2865961.0,16066240.0,7.049477321814255,2625.03,,312.77,166.486246140197,213.550184112094,228.59,99.386,970.715,11016.8,260.107
2012-08,2354.1,16353.155333333334,0.13,2851183.0,16188403.333333334,6.946669781799131,2635.13,,313.58666666666664,171.376777462595,227.100652030527,229.918,100.37466666666667,1073.1296666666667,11056.0,260.677
2012-09,2386.6,16386.770666666667,0.14,2822283.0,16310566.666666666,6.8661571552278,2714.705,,314.40333333333336,173.022479627727,228.604174161606,231.015,101.36333333333333,1175.5443333333333,11105.3,261.421
2012-10,2420.1,16420.386,0.16,2808621.0,16432730.0,6.785003099045493,2794.28,,315.22,171.236194405048,223.582281780183,231.638,102.352,1277.959,11137.4,262.707
2012-11,2441.2,16489.940666666665,0.16,2830791.0,16545613.666666666,6.754850346823966,2687.52,,315.74333333333334,169.079559418959,220.239028555248,231.249,101.67733333333334,1091.1823333333334,11178.4,263.365
2012-12,2460.7,16559.495333333332,0.16,2859807.0,16658497.333333334,6.729587244821934,2671.84,,316.2666666666667,169.963509713296,220.583781936685,231.221,101.00266666666667,904.4056666666668,11181.2,264.098
2013-01,2475.5,16629.05,0.14,2917189.0,16771381.0,6.71745101999596,2717.9,,316.79,174.027821529619,226.609992657721,231.679,100.328,717.629,11245.8,264.7
2013-02,2470.6,16652.550333333333,0.15,3014975.0,16760360.666666666,6.74028589546399,2763.96,,318.40333333333336,175.50395775166,230.718606428011,232.937,100.68366666666667,742.5753333333333,11282.1,265.256
2013-03,2477.5,16676.050666666666,0.14,3108805.0,16749340.333333334,6.730999260006727,2747.75,,320.01666666666665,171.203032018493,224.634418455802,232.282,101.03933333333333,767.5216666666666,11268.9,265.821
2013-04,2507.1,16699.551,0.15,3215432.0,16738320.0,6.660903434246739,2797.07,,321.63,167.819250104005,219.154640961809,231.797,101.395,792.468,11259.3,265.984
2013-05,2527.9,16770.056666666667,0.11,3317194.0,16738273.333333334,6.633987367643762,2873.35,,323.18,166.74340866391,218.779877661479,231.893,101.14666666666666,795.8496666666666,11295.1,266.559
2013-06,2528.3,16840.56233333333,0.09,3400183.0,16738226.666666666,6.660824401112736,2990.79,,324.72999999999996,164.0598227828,218.338094747412,232.445,100.89833333333334,799.2313333333334,11318.5,266.905
2013-07,2544.5,16911.068,0.09,3492742.0,16738180.0,6.6461261544507755,2927.35,,326.28,165.994366693682,225.475015758846,232.9,100.65,802.613,11346.8,267.482
2013-08,2555.9,16985.083333333332,0.08,3585359.0,16877493.0,6.645441266611891,3126.3,,327.15,168.5851083046,230.587951532211,233.456,100.65100000000001,785.498,11376.9,268.505
2013-09,2584.8,17059.09866666667,0.08,3654182.0,17016806.0,6.599775095429692,3189.675,,328.02,167.962245671055,232.537593803913,233.544,100.652,768.383,11413.9,269.137
2013-10,2623.6,17133.114,0.09,3747387.0,17156119.0,6.530383442597958,3253.05,,328.89,165.397114175621,227.898978145242,233.669,100.653,751.268,11465.2,269.96
2013-11,2634.6,17136.836333333333,0.08,3851623.0,17304488.333333332,6.504530605531516,3379.76,,329.8,163.565587954207,223.872487853245,234.1,101.65733333333334,787.6463333333334,11531.3,270.698
2013-12,2664.3,17140.558666666668,0.09,3932627.0,17452857.666666668,6.4334191595040595,3481.15,,330.71,167.17527927191,231.95105343407,234.719,102.66166666666666,824.0246666666667,11558.6,271.688
2014-01,2698.9,17144.281,0.07,4023640.0,17601227.0,6.352321686613064,3460.825,,331.62,165.526537724477,227.618249803187,235.288,103.666,860.403,11543.7,272.317
