date,nasdaq100,btc_price,housing_index,commod_index,energy_index
2020-07,10279.246,9239.09,462.51,102.887179091693,86.4165473565575
2020-08,11055.078,11805.82,465.9033333333333,108.679955303339,93.2271857476264
2020-09,12292.863,11911.74,469.2966666666667,108.316139767123,91.2975553598975
2020-10,11583.203,10598.64,472.69,111.1977438395,95.4028571823368
2020-11,11084.758,13784.52,476.4766666666667,115.064257828697,100.89541152644
2020-12,12455.33,18763.35,480.2633333333333,125.071304430424,118.493979515052
2021-01,0.0,29391.09,484.05,136.730518797096,138.446272490708
2021-02,13248.9,33457.6,493.0366666666667,137.808975950498,137.664908345644
2021-03,13282.95,49652.19,502.0233333333333,140.863730997543,142.136548338262
2021-04,13329.51,58768.84,511.01,145.07003950811,143.193714211993
2021-05,13799.72,57868.94,520.5,154.791655112804,154.557474298451
2021-06,13654.59,36764.58,529.99,160.343323964529,170.895141089492
2021-07,14560.05,33538.49,539.48,164.61883911581,181.349916097512
2021-08,14963.62,39816.76,545.69,162.987735857993,183.806514750323
2021-09,15611.57,48889.19,551.9,171.241055307074,212.879064204438
2021-10,14791.87,48145.34,558.11,191.012919415505,256.460754221011
2021-11,15905.28,60950.0,564.9733333333334,182.504525758145,235.683331646882
2021-12,15877.72,57228.47,571.8366666666667,186.093871623357,239.991032497251
2022-01,16501.77,47748.83,578.7,191.638048903216,241.377378261931
2022-02,15019.68,38745.11,591.9233333333334,203.000167921838,260.048362621765
2022-03,14005.99,44412.2,605.1466666666666,238.864314245343,331.78375933108
2022-04,14861.21,46222.43,618.37,227.093351794094,300.53317790586
2022-05,13075.85,38496.42,621.8733333333333,225.235192786639,306.674979216909
2022-06,12548.36,29779.16,625.3766666666667,230.672107311417,328.123480404175
2022-07,11585.68,19270.3,628.88,228.657430940237,343.809997418561
2022-08,12940.78,23250.19,570.6983333333334,241.342146350829,376.412082569145
2022-09,12274.62,20112.51,570.6983333333334,219.702440815449,330.149585913898
2022-10,11229.73,19308.76,570.6983333333334,191.042783461281,259.858676189934
2022-11,11288.95,20479.49,570.6983333333334,191.066198055729,256.859738716857
2022-12,12041.89,16980.55,337.9716666666667,193.86390554883,258.501791014275
2003-01,12041.89,16980.55,279.79,65.1533780787117,79.4541658527736
2003-04,12041.89,16980.55,283.21,61.8871994794742,70.8471973021957
2003-07,12041.89,16980.55,287.57,63.3039713180149,75.2613839004993
2003-10,12041.89,16980.55,295.72,67.4783288374775,75.7176747748298
2004-01,12041.89,16980.55,300.37,73.1691802528608,85.6153840214917
2004-04,12041.89,16980.55,307.7,76.5434715985936,89.1797524060354
2004-07,12041.89,16980.55,319.42,79.7700843227268,99.6556799959164
2004-10,12041.89,16980.55,326.26,86.4844297749064,117.282470409864
2005-01,12041.89,16980.55,333.74,85.4687843799749,108.963342886004
2005-04,12041.89,16980.55,344.43,94.1885845775862,126.269303437212
2005-07,12041.89,16980.55,354.9,97.7757469683376,137.45817507001
2005-10,12041.89,16980.55,362.94,107.012106797995,158.701217459353
2006-01,12041.89,16980.55,368.7,107.805714352905,152.349313115297
2006-04,12041.89,16980.55,372.47,115.604648629511,160.522028047458
2006-07,12041.89,16980.55,375.54,121.47218256652,166.924800371819
2006-10,12041.89,16980.55,379.38,110.698495911314,140.295031138321
2007-01,12041.89,16980.55,380.79,110.892795218448,134.713040781543
2003-02,12041.89,16980.55,380.79,70.2295140727457,90.8892642513114
2003-03,12041.89,16980.55,380.79,65.782767587809,80.5921948003378
2003-05,12041.89,16980.55,380.79,63.0659772161954,72.8786760553799
2003-06,12041.89,16980.55,380.79,64.3843517879062,76.2041201992688
2003-08,12041.89,16980.55,380.79,64.4238736964299,77.1777817819796
2003-09,12041.89,16980.55,380.79,64.5014534129361,71.9842380150344
2003-11,12041.89,16980.55,380.79,67.4059805137133,75.9402499088571
2003-12,12041.89,16980.55,380.79,70.5234791175792,82.2737346812493
2004-02,12041.89,16980.55,380.79,72.9606913930652,83.783437036665
2004-03,12041.89,16980.55,380.79,75.4267213343332,86.8433601262431
2004-05,12041.89,16980.55,380.79,79.6792614069198,97.5669900143751
2004-06,12041.89,16980.55,380.79,78.3948255987984,95.460292171924
2004-08,12041.89,16980.55,380.79,80.8376020798345,105.169549215183
2004-09,12041.89,16980.55,380.79,80.6799602588991,103.984793896605
2004-11,12041.89,16980.55,380.79,83.8591118778556,109.00453495989
2004-12,12041.89,16980.55,380.79,82.6103037167049,103.468877350763
2005-02,12041.89,16980.55,380.79,87.4309144203889,110.972849785124
2005-03,12041.89,16980.55,380.79,94.599555802495,124.990154019554
2005-05,12041.89,16980.55,380.79,91.7383810656271,119.6884745205
2005-06,12041.89,16980.55,380.79,95.5070254009748,130.909378195066
2005-08,12041.89,16980.55,380.79,103.62105354363,151.521563709579
2005-09,12041.89,16980.55,380.79,107.597009494798,160.761714874947
2005-11,12041.89,16980.55,380.79,101.047521554343,143.803193387395
2005-12,12041.89,16980.55,380.79,106.121002250701,152.895045231843
2006-02,12041.89,16980.55,380.79,106.099284947744,146.048007608321
2006-03,12041.89,16980.55,380.79,106.955531141202,147.288823149419
2006-05,12041.89,16980.55,380.79,119.811486522325,159.912510529106
2006-06,12041.89,16980.55,380.79,117.066399201037,159.629510817061
2006-08,12041.89,16980.55,380.79,122.122935091643,167.897492655972
2006-09,12041.89,16980.55,380.79,112.400918147041,145.649770471867
2006-11,12041.89,16980.55,380.79,113.474580801754,144.643440097302
2006-12,12041.89,16980.55,380.79,115.395055956808,147.260667183159
