date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money
2021-05,19259.5,23214.762666666666,0.06,7810486.0,28495930.333333332,1.2053668406068
2021-06,19319.5,23382.591333333334,0.08,7935703.0,28462424.666666668,1.2103103772526895
2021-07,19492.0,23550.42,0.1,8097773.0,28428919.0,1.2082095218551199
2021-08,19728.7,23816.653666666665,0.09,8235073.0,28825017.666666668,1.2072084661770246
2021-09,19872.5,24082.887333333332,0.08,8349173.0,29221116.333333332,1.211870038159936
2021-10,20063.4,24349.121,0.08,8464032.0,29617215.0,1.2136089097560732
2021-11,20279.7,24479.574,0.08,8574871.0,29878463.333333332,1.207097442269856
2021-12,20430.5,24610.027,0.08,8650402.0,30139711.666666668,1.2045729179413132
2022-01,20585.5,24740.48,0.08,8765721.0,30400960.0,1.2018401301887252
2022-02,20661.0,24909.811999999998,0.08,8873211.0,30456834.0,1.205644063694884
2022-03,20699.1,25079.144,0.2,8904455.0,30512708.0,1.2116055287427956
2022-04,20617.6,25248.476,0.33,8937592.0,30568582.0,1.2246079078069223
2022-05,20627.6,25406.964333333333,0.77,8939972.0,30688692.0,1.2316975476222796
2022-06,20556.5,25565.452666666664,1.21,8915050.0,30808802.0,1.2436675828407884
2022-07,20532.6,25723.941,1.68,8891851.0,30928912.0,1.2528340784898162
2022-08,20472.4,25860.11333333333,2.33,8874620.0,30928912.0,1.2631696006981756
2022-09,20283.4,25996.285666666667,2.56,8822401.0,30928912.0,1.2816532566860914
2022-10,20100.3,26132.458,3.08,8759053.0,30928912.0,1.3001028840365567
2022-11,19935.8,26132.458,3.78,8676870.0,30928912.0,1.31083066643927
2022-12,19685.8,26132.458,4.1,8582735.0,30928912.0,1.3274775726665922
